French;Italian
bonjour;ciao
merci;grazie
oui;si
non;no
salut;ciao
s’il vous plaît;per favore
pardon;scusa
famille;famiglia
maison;casa
école;scuola
ami;amico
fille;ragazza
garçon;ragazzo
homme;uomo
femme;donna
chat;gatto
chien;cane
livre;libro
table;tavolo
chaise;sedia
fenêtre;finestra
porte;porta
voiture;macchina
train;treno
rue;strada
ville;città
eau;acqua
pain;pane
fromage;formaggio
pomme;mela
lait;latte
cafè;caffè
thè;tè
chocolat;cioccolato
soleil;sole
lune;luna
jour;giorno
nuit;notte
heure;ora
minute;minuto
bonjour;buongiorno
au revoir;arrivederci
ici;qui
là-bas;là
grande;grande
petite;piccola
rouge;rosso
bleu;blu
vert;verde
jaune;giallo
cheval;cavallo
pluie;pioggia
neige;nevicare
